cycle_id,start_sec,duration_sec,is_valid,fouling_rate_pa_per_s,fouling_r2,backwash_efficiency
0,1900.0,10510.0,False,,,
1,12410.0,7720.0,False,,,
2,20130.0,7320.0,False,,,
3,27450.0,7680.0,False,,,
4,35130.0,5020.0,True,7314.264692358691,0.9147980946672373,0.8566375007249172
5,40150.0,5010.0,True,8306.80138786655,0.9141159165402174,0.8494298202709128
6,45160.0,6800.0,True,8626.2362365409,0.912085721774084,0.8511674466802579
7,51960.0,5000.0,True,10375.027294966163,0.9141173705338016,0.8710614429605386
8,56960.0,5010.0,True,11739.583834177509,0.9209788925715616,0.8820133609768727
9,61970.0,5010.0,True,11889.15511708224,0.9172835514311416,0.884347236833886
10,66980.0,5000.0,True,12499.54082484186,0.9195138309833919,0.8822380535603291
11,71980.0,5010.0,True,13253.78131716405,0.9182469808486589,0.9064729441667193
12,76990.0,5010.0,True,13721.508075124366,0.9073191930590561,0.8979642267154605
13,82000.0,5010.0,True,15027.663278128932,0.9067958364385971,0.9040508247405457
14,87010.0,5000.0,True,16393.015872439184,0.9190435631704427,0.9046909621067074
15,92010.0,5010.0,True,16505.522066360205,0.9153411853867419,0.9189429439434682
16,97020.0,4970.0,True,18038.375143800276,0.9152143483000278,0.9251808193139398
17,101990.0,6850.0,True,22326.427151143682,0.8459804769463988,0.9403586404160775
18,108840.0,5010.0,True,20374.49879125436,0.9199397386177203,0.9222597422953583
19,113850.0,5010.0,True,21734.188225462753,0.9195656903010224,0.9237969810227181
20,118860.0,5010.0,True,22063.802291455653,0.9138489537943465,0.9235668568970528
21,123870.0,5010.0,True,23327.929968166984,0.9169266075447982,0.9215074730047035
22,128880.0,5010.0,True,23597.683959356433,0.9179697949997533,0.9208901500945443
23,133890.0,5000.0,True,24874.44278417776,0.9153464768089342,0.9214674718038753
24,138890.0,5010.0,True,26436.154050665526,0.9126676662944084,0.9417748186024454
25,143900.0,5010.0,True,27458.067551029962,0.9148946811238539,0.9386678516849802
26,148910.0,4950.0,True,28470.42964789272,0.916209860918241,0.9454732021152942
